date,time,open_price,high_price,low_price,close_price
2023-03-20,01:30:00,27892.68,27905.87,27863.75,27866.61
2023-03-20,01:31:00,27865.73,27869.03,27823.05,27864.02
2023-03-20,01:32:00,27864.02,27891.56,27863.0,27885.41
2023-03-20,01:33:00,27885.41,27911.0,27871.44,27892.19
2023-03-20,01:34:00,27892.19,27931.25,27891.95,27923.27
2023-03-20,01:35:00,27921.72,27948.96,27909.94,27943.27
2023-03-20,01:36:00,27941.89,27970.94,27939.41,27965.99
2023-03-20,01:37:00,27965.99,27980.67,27960.01,27963.8
2023-03-20,01:38:00,27963.8,27983.26,27935.69,27972.05
2023-03-20,01:39:00,27972.05,28000.0,27955.0,27999.96
2023-03-20,01:40:00,27999.96,28000.0,27964.25,27972.34
2023-03-20,01:41:00,27970.93,28006.66,27960.26,28005.68
2023-03-20,01:42:00,28006.66,28011.17,27975.01,27983.66
2023-03-20,01:43:00,27982.37,28004.45,27977.14,27990.86
2023-03-20,01:44:00,27989.17,28003.53,27985.62,27990.86
2023-03-20,01:45:00,27990.3,28056.92,27971.02,28013.77
2023-03-20,01:46:00,28013.77,28065.0,27999.47,28001.09
2023-03-20,01:47:00,28000.38,28002.95,27956.01,27971.1
2023-03-20,01:48:00,27971.1,27989.51,27953.0,27964.21
2023-03-20,01:49:00,27964.21,27965.25,27907.29,27911.61
2023-03-20,01:50:00,27912.23,27942.05,27905.44,27936.69
2023-03-20,01:51:00,27936.72,27950.0,27905.12,27909.93
2023-03-20,01:52:00,27910.95,27935.0,27898.43,27933.97
2023-03-20,01:53:00,27933.97,27953.83,27917.06,27923.31
2023-03-20,01:54:00,27924.79,27938.06,27900.0,27937.35
2023-03-20,01:55:00,27936.33,27944.83,27900.0,27917.31
2023-03-20,01:56:00,27917.31,27925.28,27898.13,27904.49
2023-03-20,01:57:00,27903.11,27925.35,27903.1,27922.93
2023-03-20,01:58:00,27921.56,27934.47,27895.86,27911.08
2023-03-20,01:59:00,27912.48,27925.0,27884.72,27897.98
2023-03-20,02:00:00,27897.98,27923.4,27875.0,27916.93
2023-03-20,02:01:00,27916.93,27927.27,27856.08,27860.66
2023-03-20,02:02:00,27860.67,27879.66,27833.73,27866.86
2023-03-20,02:03:00,27868.96,27911.47,27862.02,27902.53
2023-03-20,02:04:00,27904.71,27915.0,27886.52,27898.96
2023-03-20,02:05:00,27897.27,27909.73,27883.08,27886.57
2023-03-20,02:06:00,27887.73,27891.7,27861.0,27891.2
2023-03-20,02:07:00,27891.19,27938.89,27887.86,27918.6
2023-03-20,02:08:00,27918.59,27947.87,27916.46,27942.19
2023-03-20,02:09:00,27942.19,27969.89,27912.97,27922.29
2023-03-20,02:10:00,27920.83,27944.81,27907.07,27921.57
2023-03-20,02:11:00,27922.47,27923.53,27890.0,27893.4
2023-03-20,02:12:00,27893.26,27898.19,27875.05,27888.65
2023-03-20,02:13:00,27886.81,27915.0,27886.81,27891.28
2023-03-20,02:14:00,27892.92,27909.62,27891.28,27892.48
2023-03-20,02:15:00,27894.23,27910.0,27871.16,27896.69
2023-03-20,02:16:00,27896.7,27904.99,27870.45,27872.41
2023-03-20,02:17:00,27874.0,27894.94,27870.72,27885.53
2023-03-20,02:18:00,27885.53,27913.06,27885.53,27905.78
2023-03-20,02:19:00,27904.24,27959.7,27901.93,27952.19
2023-03-20,02:20:00,27953.62,27965.0,27940.0,27949.03
2023-03-20,02:21:00,27947.48,27975.0,27945.87,27967.04
2023-03-20,02:22:00,27968.26,27975.32,27946.8,27955.71
2023-03-20,02:23:00,27955.71,27986.0,27951.92,27969.47
2023-03-20,02:24:00,27970.91,27974.86,27955.02,27970.92
2023-03-20,02:25:00,27970.92,27973.05,27951.62,27957.65
2023-03-20,02:26:00,27959.03,28002.97,27949.54,27995.33
2023-03-20,02:27:00,27995.33,27999.14,27979.39,27995.55
2023-03-20,02:28:00,27995.55,27996.65,27974.34,27992.28
2023-03-20,02:29:00,27992.28,28025.35,27961.68,27981.62
2023-03-20,02:30:00,27981.62,28000.0,27967.09,27995.43
2023-03-20,02:31:00,27997.15,28003.18,27961.74,27973.76
2023-03-20,02:32:00,27972.1,28017.22,27964.16,28004.17
2023-03-20,02:33:00,28004.17,28025.0,27999.04,28021.22
2023-03-20,02:34:00,28021.22,28062.11,28019.55,28044.05
2023-03-20,02:35:00,28044.05,28050.44,28019.84,28036.3
2023-03-20,02:36:00,28036.3,28099.99,28021.33,28067.07
2023-03-20,02:37:00,28065.94,28068.92,28029.73,28049.37
2023-03-20,02:38:00,28047.25,28080.0,28038.33,28076.89
2023-03-20,02:39:00,28075.39,28086.72,28047.19,28077.97
2023-03-20,02:40:00,28080.15,28133.4,28055.85,28102.2
2023-03-20,02:41:00,28102.2,28200.0,28100.28,28163.22
2023-03-20,02:42:00,28163.01,28212.0,28137.87,28146.3
2023-03-20,02:43:00,28148.16,28148.18,28077.37,28083.14
2023-03-20,02:44:00,28079.69,28132.5,28077.37,28112.85
2023-03-20,02:45:00,28112.86,28142.17,28103.26,28120.82
2023-03-20,02:46:00,28121.96,28148.0,28112.68,28142.15
2023-03-20,02:47:00,28141.93,28159.86,28121.2,28141.02
2023-03-20,02:48:00,28142.65,28152.75,28111.88,28128.88
2023-03-20,02:49:00,28129.98,28136.31,28060.14,28077.18
2023-03-20,02:50:00,28077.18,28112.5,28072.95,28111.17
2023-03-20,02:51:00,28111.17,28142.42,28111.17,28137.84
2023-03-20,02:52:00,28137.84,28167.67,28132.85,28135.39
2023-03-20,02:53:00,28138.34,28167.7,28130.0,28135.03
2023-03-20,02:54:00,28133.06,28165.59,28133.06,28151.96
2023-03-20,02:55:00,28151.96,28158.12,28125.71,28126.94
2023-03-20,02:56:00,28129.19,28150.67,28110.86,28133.35
2023-03-20,02:57:00,28131.22,28148.65,28127.58,28146.69
2023-03-20,02:58:00,28148.01,28280.0,28145.49,28259.62
2023-03-20,02:59:00,28259.62,28320.0,28221.55,28303.69
2023-03-20,03:00:00,28309.09,28350.0,28230.0,28260.92
2023-03-20,03:01:00,28262.72,28267.4,28206.37,28228.65
2023-03-20,03:02:00,28224.9,28299.0,28224.9,28278.12
2023-03-20,03:03:00,28276.45,28290.0,28231.61,28284.45
2023-03-20,03:04:00,28282.47,28315.58,28253.02,28257.63
2023-03-20,03:05:00,28261.2,28274.68,28232.92,28265.57
2023-03-20,03:06:00,28266.84,28315.0,28257.49,28272.15
2023-03-20,03:07:00,28270.14,28294.01,28261.23,28284.39
2023-03-20,03:08:00,28284.38,28348.46,28282.82,28326.22
2023-03-20,03:09:00,28326.22,28337.19,28270.82,28292.13
2023-03-20,03:10:00,28292.13,28376.0,28280.0,28338.99
2023-03-20,03:11:00,28338.99,28353.22,28312.24,28330.54
2023-03-20,03:12:00,28328.86,28347.21,28283.0,28311.34
2023-03-20,03:13:00,28311.35,28325.75,28290.0,28320.74
2023-03-20,03:14:00,28318.67,28353.47,28301.65,28311.72
2023-03-20,03:15:00,28311.72,28315.2,28272.0,28277.04
2023-03-20,03:16:00,28277.04,28297.21,28230.0,28273.3
2023-03-20,03:17:00,28271.89,28312.42,28268.98,28306.19
2023-03-20,03:18:00,28307.35,28323.56,28280.0,28284.55
2023-03-20,03:19:00,28284.55,28284.55,28221.11,28230.92
2023-03-20,03:20:00,28227.66,28274.14,28197.98,28261.6
2023-03-20,03:21:00,28261.6,28265.54,28210.0,28227.25
2023-03-20,03:22:00,28229.13,28249.79,28183.46,28215.29
2023-03-20,03:23:00,28215.29,28236.67,28191.64,28210.16
2023-03-20,03:24:00,28210.33,28229.13,28201.7,28213.42
2023-03-20,03:25:00,28211.09,28258.69,28207.2,28242.45
2023-03-20,03:26:00,28242.45,28263.14,28220.67,28225.35
2023-03-20,03:27:00,28225.35,28283.29,28225.35,28267.18
2023-03-20,03:28:00,28267.18,28287.91,28248.88,28267.57
2023-03-20,03:29:00,28267.57,28267.58,28230.93,28233.93
2023-03-20,03:30:00,28233.73,28265.34,28231.55,28245.66
2023-03-20,03:31:00,28247.89,28314.69,28245.66,28305.46
2023-03-20,03:32:00,28305.46,28337.35,28272.77,28336.08
2023-03-20,03:33:00,28331.99,28346.93,28313.48,28329.72
2023-03-20,03:34:00,28329.72,28333.59,28292.43,28302.82
2023-03-20,03:35:00,28302.82,28317.48,28242.42,28269.46
2023-03-20,03:36:00,28271.84,28272.59,28205.1,28217.74
2023-03-20,03:37:00,28220.6,28225.88,28162.6,28181.23
2023-03-20,03:38:00,28178.49,28212.48,28171.99,28191.24
2023-03-20,03:39:00,28188.57,28225.98,28177.37,28216.1
2023-03-20,03:40:00,28216.1,28225.67,28182.01,28217.74
2023-03-20,03:41:00,28219.96,28246.25,28206.76,28206.84
2023-03-20,03:42:00,28206.84,28209.74,28169.02,28204.08
2023-03-20,03:43:00,28202.34,28222.81,28181.0,28196.06
2023-03-20,03:44:00,28193.82,28205.0,28180.0,28193.24
2023-03-20,03:45:00,28193.24,28205.0,28170.0,28198.28
2023-03-20,03:46:00,28201.0,28223.06,28180.08,28188.08
2023-03-20,03:47:00,28188.08,28214.0,28180.54,28193.81
2023-03-20,03:48:00,28194.93,28224.11,28182.0,28209.65
2023-03-20,03:49:00,28208.61,28223.08,28200.03,28211.58
2023-03-20,03:50:00,28212.78,28224.02,28195.34,28219.52
2023-03-20,03:51:00,28219.52,28272.51,28217.58,28244.67
2023-03-20,03:52:00,28244.67,28280.0,28240.0,28251.51
2023-03-20,03:53:00,28249.33,28261.0,28236.41,28258.74
2023-03-20,03:54:00,28257.32,28269.67,28247.64,28256.37
2023-03-20,03:55:00,28253.63,28265.0,28238.51,28250.13
2023-03-20,03:56:00,28250.13,28256.88,28215.99,28225.74
2023-03-20,03:57:00,28225.73,28256.84,28221.78,28229.9
2023-03-20,03:58:00,28229.9,28258.82,28220.36,28254.29
2023-03-20,03:59:00,28254.29,28258.62,28232.27,28255.87
2023-03-20,04:00:00,28255.35,28269.99,28227.79,28263.55
2023-03-20,04:01:00,28266.93,28315.0,28263.56,28306.91
2023-03-20,04:02:00,28306.91,28310.44,28270.43,28302.75
2023-03-20,04:03:00,28302.75,28326.8,28297.94,28320.95
2023-03-20,04:04:00,28320.95,28339.43,28304.95,28331.72
2023-03-20,04:05:00,28331.72,28333.94,28306.43,28310.01
2023-03-20,04:06:00,28310.01,28316.77,28228.57,28252.98
2023-03-20,04:07:00,28250.4,28289.98,28244.54,28289.41
2023-03-20,04:08:00,28289.41,28316.83,28278.95,28309.09
2023-03-20,04:09:00,28309.09,28311.5,28258.8,28267.33
2023-03-20,04:10:00,28267.33,28292.78,28267.13,28281.86
2023-03-20,04:11:00,28281.86,28390.1,28275.0,28361.07
